201,其他文教办公用品制造,上述未列明的文教办公类用品的制造
202,乐器制造,中国民族乐器、西乐器等各种乐器及乐器零部件和配套产品的制造，但不包括玩具乐器的制造
203,中乐器制造,
204,西乐器制造,
205,电子乐器制造,
206,其他乐器及零件制造,其他未列明的乐器、乐器零件及配套产品的制造
207,工艺美术及礼仪用品制造,
208,雕塑工艺品制造,玉石、宝石、象牙、角、骨、贝壳等硬质材料，木、竹、椰壳、树根、软木等天然植物，及石膏、泥、面、塑料等为原料，经雕刻、琢、磨、捏或塑等艺术加工而制成的各种供欣赏、实用和礼仪用的工艺品制作活动
209,金属工艺品制造,金、银、铜、铁、锡等各种金属为原料，经过制胎、浇铸、锻打、錾刻、搓丝、焊接、纺织、镶嵌、点兰、烧制、打磨、电镀等各种工艺加工制成的造型美观、花纹图案精致的各种供欣赏、实用和礼仪用的工艺美术品制作活动
210,漆器工艺品制造,将半生漆、腰果漆加工调配成各种鲜艳的漆料，木、纸、塑料、铜、布等作胎，采用推光、雕填、彩画、镶嵌、刻灰等传统工艺和现代漆器工艺进行的各种供欣赏、实用和礼仪用的工艺制品制作活动
211,花画工艺品制造,绢、丝、绒、纸、涤纶、塑料、羽毛、通草及鲜花草等为原料，经造型设计、模压、剪贴、干燥等工艺精制而成的花、果、叶等人造花类工艺品，画面出现、可挂或摆的具有欣赏性、装饰性和礼仪用的画类工艺品制作活动
212,天然植物纤维编织工艺品制造,竹、藤、棕、草、柳、葵、麻等天然植物纤维为材料，经编织或镶嵌而成具有造型艺术或图案花纹，欣赏为主的工艺陈列品、礼仪用品及工艺实用品的制作活动
213,抽纱刺绣工艺品制造,棉、麻、丝、毛及人造纤维纺织品等为主要原料，经设计、刺绣、抽、拉、钩等工艺加工各种生活装饰用品，及纺织品为主要原料，经特殊手工工艺或民间工艺方法加工成各种具有较强装饰效果的生活用纺织品和礼仪用品的制作活动
214,地毯、挂毯制造,羊毛、丝、棉、麻及人造纤维等为原料，经手工编织、机织、栽绒等方式加工而成的各种具有装饰性的地面覆盖物或可用于悬挂、垫坐等用途的生活装饰用品和礼仪用品的制作活动
215,珠宝首饰及有关物品制造,金、银、铂等贵金属及其合金及钻石、宝石、玉石、翡翠、珍珠等为原料，经金属加工和连结组合、镶嵌等工艺加工制作各种图案的装饰品和礼仪用品的制作活动
216,其他工艺美术及礼仪用品制造,
217,体育用品制造,
218,球类制造,各种皮制、胶制、革制的可充气的运动用球，及其他材料制成的各种运动用硬球、软球等球类产品的生产活动
219,专项运动器材及配件制造,各项竞技比赛和训练用器材及用品，体育场馆设施及器件的生产活动
220,健身器材制造,供健身房、家庭或体育训练用的健身器材及运动物品的制造
221,运动防护用具制造,用各种材质，为各项运动特制手套、鞋、帽和护具的生产活动
222,其他体育用品制造,钓鱼专用的各种用具及用品，及上述未列明的体育用品制造
223,玩具制造,儿童为主要使用者，用于玩耍、智力开发等娱乐器具的制造
224,电玩具制造,制造供14岁下儿童玩耍的、至少有一种玩耍功能需要使用额定电压小于或等于24V的玩具产品
225,塑胶玩具制造,制造供14岁下儿童玩耍的、玩具主体或主要玩耍部分由塑胶制成的，非预定承载儿童体重的非电玩具产品
226,金属玩具制造,制造供14岁下儿童玩耍的、玩具主体或主要玩耍部分由金属材料制成的，非预定承载儿童体重的非电玩具产品
